image_path,is_noisy,noise_ratio,noise_level,has_repeating_patterns,is_symmetric,good_matches_count,brightness,contrast,saturation,h_entropy,s_entropy,v_entropy,label
./dataset/train/fake/fake_train_3759.jpg,TRUE,0.202346802,3,TRUE,FALSE,19,114.3035736,56.91729966,102.1498413,5.090866089,6.892580509,7.659484863,0
./dataset/train/fake/fake_train_613.jpg,FALSE,0.154541016,0,FALSE,TRUE,22,160.4033661,41.85948764,138.3928375,4.239413261,7.832019806,7.273220539,0
./dataset/train/fake/fake_train_4566.jpg,FALSE,0.163284302,0,FALSE,TRUE,39,140.9093933,60.56256954,168.5204163,4.325023651,7.483932018,7.734318256,0
./dataset/train/fake/fake_train_5277.jpg,FALSE,0.144897461,0,TRUE,TRUE,94,96.9034729,54.42850717,88.42382813,6.755152702,7.541889191,7.684059143,0
./dataset/train/fake/fake_train_7118.jpg,FALSE,0.124130249,0,TRUE,TRUE,28,132.9521332,68.28377257,155.2529297,5.337565422,7.630328178,7.604070187,0
./dataset/train/fake/fake_train_5735.jpg,TRUE,0.188354492,1,FALSE,TRUE,67,80.04899597,45.88187694,101.2887268,5.981475353,7.437162876,7.336778641,0
./dataset/train/fake/fake_train_4911.jpg,FALSE,0.16053772,0,TRUE,TRUE,173,86.19947815,55.94163349,98.62771606,6.464608192,7.418398857,7.606003761,0
./dataset/train/fake/fake_train_7469.jpg,TRUE,0.1875,1,FALSE,TRUE,22,94.10899353,50.11875979,112.0562592,6.074475288,7.382408142,7.420783997,0
./dataset/train/fake/fake_train_5545.jpg,FALSE,0.140884399,0,TRUE,TRUE,37,169.6584473,51.86524356,107.4594574,5.336936474,7.400766373,7.57093811,0
./dataset/train/fake/fake_train_5000.jpg,FALSE,0.178512573,0,FALSE,FALSE,11,77.87641907,45.07931753,73.88017273,6.396933079,7.059184074,7.394977093,0
./dataset/train/fake/fake_train_1545.jpg,FALSE,0.173049927,0,TRUE,TRUE,29,174.1884003,38.74046924,131.8375092,5.601881027,7.904512882,7.251275063,0
./dataset/train/fake/fake_train_793.jpg,FALSE,0.110656738,0,TRUE,TRUE,44,156.6780853,51.08341913,114.7747498,6.335426807,7.856656075,7.628412724,0
./dataset/train/fake/fake_train_7259.jpg,TRUE,0.19039917,1,FALSE,TRUE,63,127.0368042,55.69269346,155.4443207,6.288649559,7.324015617,7.6754179,0
./dataset/train/fake/fake_train_744.jpg,FALSE,0.08416748,0,TRUE,TRUE,25,147.4046783,47.05390607,154.7846375,5.271677017,7.66587019,7.503087997,0
./dataset/train/fake/fake_train_6633.jpg,FALSE,0.173110962,0,TRUE,FALSE,9,113.5977783,53.46772169,92.3449707,5.594097614,7.052418232,7.695734978,0
./dataset/train/fake/fake_train_4127.jpg,FALSE,0.130691528,0,FALSE,TRUE,22,132.7005005,57.43212938,121.8994751,3.967610359,7.471910954,7.69476366,0
./dataset/train/fake/fake_train_5175.jpg,FALSE,0.160293579,0,TRUE,TRUE,29,178.6586609,61.06285737,116.322937,5.6191535,7.710813522,7.572866917,0
./dataset/train/fake/fake_train_7124.jpg,FALSE,0.158782959,0,TRUE,TRUE,79,129.6331635,74.54439332,165.9253693,5.236753464,7.496723175,7.893764019,0
./dataset/train/fake/fake_train_3158.jpg,FALSE,0.172286987,0,TRUE,TRUE,24,109.0289764,52.24956837,98.94224548,4.973747253,7.132430553,7.552009583,0
./dataset/train/fake/fake_train_4357.jpg,FALSE,0.175430298,0,TRUE,TRUE,46,83.84558105,40.99808354,94.1255188,6.110505104,7.657973289,7.252921581,0
./dataset/train/fake/fake_train_3659.jpg,FALSE,0.155792236,0,TRUE,TRUE,22,168.7420807,47.60776693,85.41419983,4.702582836,7.540717602,7.43782711,0
./dataset/train/fake/fake_train_7956.jpg,FALSE,0.15675354,0,TRUE,TRUE,71,89.24395752,67.96041162,113.5350037,6.330513954,7.696863174,7.616409302,0
./dataset/train/fake/fake_train_47.jpg,FALSE,0.130065918,0,TRUE,TRUE,31,127.6381836,63.30723697,133.9054871,5.050381184,7.451514244,7.838358402,0
./dataset/train/fake/fake_train_7709.jpg,TRUE,0.204910278,3,TRUE,TRUE,47,91.89453125,46.95490991,106.6078949,6.924643517,7.471142292,7.3466115,0
./dataset/train/fake/fake_train_4950.jpg,TRUE,0.19241333,2,FALSE,TRUE,25,79.28396606,56.46210085,86.08302307,6.24341011,7.305093288,7.59608078,0
./dataset/train/fake/fake_train_5617.jpg,TRUE,0.184112549,1,FALSE,FALSE,18,105.5213165,46.10536007,62.15196228,5.725469589,7.12625885,7.426278114,0
./dataset/train/fake/fake_train_365.jpg,FALSE,0.152313232,0,TRUE,TRUE,23,116.5336609,52.37042489,63.64373779,4.870276928,7.049796104,7.654388428,0
./dataset/train/fake/fake_train_6692.jpg,TRUE,0.1902771,1,TRUE,TRUE,24,114.0689697,53.30694118,101.8057251,5.126263142,7.212073803,7.652091503,0
./dataset/train/fake/fake_train_7757.jpg,TRUE,0.187911987,1,TRUE,TRUE,33,89.99893188,51.75689444,113.1405182,6.395771503,7.579124451,7.436423302,0
./dataset/train/fake/fake_train_4979.jpg,FALSE,0.181716919,0,TRUE,TRUE,22,186.2125397,50.96618676,124.5883484,4.869389057,7.633440971,7.420400143,0
./dataset/train/fake/fake_train_2104.jpg,TRUE,0.192779541,2,TRUE,TRUE,22,118.8297882,59.5980507,118.2319031,4.839369297,6.887125969,7.734041691,0
./dataset/train/fake/fake_train_3756.jpg,TRUE,0.196853638,2,FALSE,TRUE,26,170.4125519,50.30161847,196.7908783,3.807472229,7.075719833,7.485338211,0
./dataset/train/fake/fake_train_7270.jpg,FALSE,0.171920776,0,TRUE,TRUE,58,122.0823364,50.78809144,151.174881,6.568001747,7.33712101,7.655447006,0
./dataset/train/fake/fake_train_323.jpg,FALSE,0.169235229,0,FALSE,TRUE,25,166.8974915,57.03061501,143.0907745,4.961462498,7.571364403,7.618382931,0
./dataset/train/fake/fake_train_83.jpg,TRUE,0.233520508,3,TRUE,FALSE,17,182.7037506,40.56415766,97.23812866,5.012664318,7.742875576,7.274607658,0
./dataset/train/fake/fake_train_951.jpg,FALSE,0.068756104,0,TRUE,TRUE,43,150.7832642,54.79126894,131.9059448,4.970470428,7.799582481,7.713413715,0
./dataset/train/fake/fake_train_4097.jpg,FALSE,0.175048828,0,TRUE,TRUE,24,89.20834351,54.60019835,85.00880432,6.827418327,7.40201664,7.589761734,0
./dataset/train/fake/fake_train_2460.jpg,FALSE,0.137741089,0,FALSE,TRUE,29,171.8332977,65.24963166,154.0840607,4.57670927,7.181198597,7.004807472,0
./dataset/train/fake/fake_train_3399.jpg,FALSE,0.162963867,0,FALSE,TRUE,22,75.17254639,35.7140076,104.9905396,6.074641228,7.358498573,6.908486366,0
./dataset/train/fake/fake_train_5097.jpg,FALSE,0.148391724,0,TRUE,TRUE,43,177.2051086,59.50866776,124.9243164,4.673613548,7.597560883,7.52797842,0
./dataset/train/fake/fake_train_1054.jpg,FALSE,0.141311646,0,FALSE,TRUE,29,135.9730988,58.55350018,58.9342804,5.619828224,6.968166828,7.741448879,0
