image_path,has_repeating_patterns
./dataset/train/real/real_train_61.jpg,False
./dataset/train/real/real_train_5583.jpg,False
./dataset/train/real/real_train_6963.jpg,False
./dataset/train/real/real_train_550.jpg,False
./dataset/train/real/real_train_6344.jpg,True
./dataset/train/real/real_train_4582.jpg,False
./dataset/train/real/real_train_5916.jpg,True
./dataset/train/real/real_train_2058.jpg,False
./dataset/train/real/real_train_2457.jpg,False
./dataset/train/real/real_train_229.jpg,False
./dataset/train/real/real_train_7205.jpg,False
./dataset/train/real/real_train_1810.jpg,False
./dataset/train/real/real_train_1906.jpg,False
./dataset/train/real/real_train_7551.jpg,True
./dataset/train/real/real_train_3564.jpg,False
./dataset/train/real/real_train_5616.jpg,False
./dataset/train/real/real_train_59.jpg,True
./dataset/train/real/real_train_7516.jpg,False
./dataset/train/real/real_train_6284.jpg,False
./dataset/train/real/real_train_3279.jpg,True
./dataset/train/real/real_train_6193.jpg,False
./dataset/train/real/real_train_2907.jpg,False
./dataset/train/real/real_train_2883.jpg,False
./dataset/train/real/real_train_6470.jpg,True
./dataset/train/real/real_train_6959.jpg,False
./dataset/train/real/real_train_6090.jpg,True
./dataset/train/real/real_train_3484.jpg,False
./dataset/train/real/real_train_1590.jpg,False
./dataset/train/real/real_train_4403.jpg,False
./dataset/train/real/real_train_5858.jpg,False
./dataset/train/real/real_train_7073.jpg,False
./dataset/train/real/real_train_1086.jpg,True
./dataset/train/real/real_train_1971.jpg,False
./dataset/train/real/real_train_7568.jpg,False
./dataset/train/real/real_train_3988.jpg,False
./dataset/train/real/real_train_5407.jpg,False
./dataset/train/real/real_train_2849.jpg,True
./dataset/train/real/real_train_464.jpg,True
./dataset/train/real/real_train_4369.jpg,False
./dataset/train/real/real_train_6155.jpg,True
./dataset/train/real/real_train_1007.jpg,False
./dataset/train/real/real_train_380.jpg,True
./dataset/train/real/real_train_7044.jpg,True
./dataset/train/real/real_train_3405.jpg,False
./dataset/train/real/real_train_4905.jpg,False
./dataset/train/real/real_train_1517.jpg,True
./dataset/train/real/real_train_4921.jpg,False
./dataset/train/real/real_train_4356.jpg,False
./dataset/train/real/real_train_4496.jpg,False
./dataset/train/real/real_train_3937.jpg,False
./dataset/train/real/real_train_3949.jpg,True
./dataset/train/real/real_train_2223.jpg,False
./dataset/train/real/real_train_1093.jpg,False
./dataset/train/real/real_train_230.jpg,False
./dataset/train/real/real_train_6077.jpg,False
./dataset/train/real/real_train_1121.jpg,True
./dataset/train/real/real_train_69.jpg,False
./dataset/train/real/real_train_3986.jpg,False
./dataset/train/real/real_train_585.jpg,True
./dataset/train/real/real_train_6137.jpg,False
./dataset/train/real/real_train_7980.jpg,True
./dataset/train/real/real_train_1953.jpg,True
./dataset/train/real/real_train_554.jpg,False
./dataset/train/real/real_train_338.jpg,True
./dataset/train/real/real_train_4424.jpg,False
./dataset/train/real/real_train_484.jpg,False
./dataset/train/real/real_train_295.jpg,False
./dataset/train/real/real_train_2428.jpg,False
./dataset/train/real/real_train_5150.jpg,True
./dataset/train/real/real_train_1434.jpg,True
./dataset/train/real/real_train_7453.jpg,False
./dataset/train/real/real_train_681.jpg,False
./dataset/train/real/real_train_512.jpg,True
./dataset/train/real/real_train_4903.jpg,False
./dataset/train/real/real_train_5479.jpg,False
./dataset/train/real/real_train_6091.jpg,False
./dataset/train/real/real_train_5631.jpg,False
./dataset/train/real/real_train_3425.jpg,True
./dataset/train/real/real_train_6893.jpg,True
./dataset/train/real/real_train_549.jpg,True
./dataset/train/real/real_train_4183.jpg,True
./dataset/train/real/real_train_1792.jpg,False
./dataset/train/real/real_train_6112.jpg,True
